layer,hhi,low,high,top_share,shannon_effective_categories,panel,draw,mutual_information
,,,,,,b,388.0,0.3050702552652677
,,,,,,b,389.0,0.3258413805678866
,,,,,,b,390.0,0.35435189429435
,,,,,,b,391.0,0.3355044939168308
,,,,,,b,392.0,0.3804145592913817
,,,,,,b,393.0,0.3181796064212525
,,,,,,b,394.0,0.388845500860111
,,,,,,b,395.0,0.4082215788827468
,,,,,,b,396.0,0.3066376937585509
,,,,,,b,397.0,0.3326774952444693
,,,,,,b,398.0,0.3593057814417513
,,,,,,b,399.0,0.3262911354801536
,,,,,,b,400.0,0.3515133529997496
,,,,,,b,401.0,0.316220115102821
,,,,,,b,402.0,0.3604901716172373
,,,,,,b,403.0,0.3485397575518689
,,,,,,b,404.0,0.2897881810141869
,,,,,,b,405.0,0.370934680111346
,,,,,,b,406.0,0.3451961796961278
,,,,,,b,407.0,0.4109681021881801
,,,,,,b,408.0,0.3493499758053935
,,,,,,b,409.0,0.3139613925624109
,,,,,,b,410.0,0.3140485774403232
,,,,,,b,411.0,0.3113530017718213
,,,,,,b,412.0,0.3459594202852916
,,,,,,b,413.0,0.4014410150981371
,,,,,,b,414.0,0.3573089158816023
,,,,,,b,415.0,0.3149153672480711
,,,,,,b,416.0,0.3552255563175071
,,,,,,b,417.0,0.3624950808235168
,,,,,,b,418.0,0.3896185481119336
,,,,,,b,419.0,0.3851288562427908
,,,,,,b,420.0,0.3767666144035169
,,,,,,b,421.0,0.332521079753886
,,,,,,b,422.0,0.3045247698618873
,,,,,,b,423.0,0.3640223990541362
,,,,,,b,424.0,0.4222898520254792
,,,,,,b,425.0,0.3135959843408407
,,,,,,b,426.0,0.3524260296994428
,,,,,,b,427.0,0.4288120376506161
,,,,,,b,428.0,0.3504899829299823
,,,,,,b,429.0,0.3706566280414631
,,,,,,b,430.0,0.346086806342476
,,,,,,b,431.0,0.392777627956681
,,,,,,b,432.0,0.3843627067856716
,,,,,,b,433.0,0.3841367900459009
,,,,,,b,434.0,0.3592259760417855
,,,,,,b,435.0,0.3399699941500134
,,,,,,b,436.0,0.3142947664434379
,,,,,,b,437.0,0.3993583916710745
,,,,,,b,438.0,0.3654113480288203
,,,,,,b,439.0,0.3089528229450096
,,,,,,b,440.0,0.3668258686404404
,,,,,,b,441.0,0.3193712031244802
,,,,,,b,442.0,0.3678597116117235
,,,,,,b,443.0,0.3396023500731222
,,,,,,b,444.0,0.3988992190858642
,,,,,,b,445.0,0.3410202126944295
,,,,,,b,446.0,0.42200192946878
,,,,,,b,447.0,0.3494748888321379
,,,,,,b,448.0,0.3541652502644856
,,,,,,b,449.0,0.319429563033939
,,,,,,b,450.0,0.3346922205208735
,,,,,,b,451.0,0.3682021133848572
,,,,,,b,452.0,0.3947023247321244
,,,,,,b,453.0,0.3444292016629919
,,,,,,b,454.0,0.4216313640907341
,,,,,,b,455.0,0.3690280725337884
,,,,,,b,456.0,0.3099321343015209
,,,,,,b,457.0,0.3479359546964109
,,,,,,b,458.0,0.3712078146781365
,,,,,,b,459.0,0.3131938145281414
,,,,,,b,460.0,0.2612734901366091
,,,,,,b,461.0,0.3143607930734227
,,,,,,b,462.0,0.4080121899891207
,,,,,,b,463.0,0.3239612879673204
,,,,,,b,464.0,0.3501624464212671
,,,,,,b,465.0,0.3356485470161536
,,,,,,b,466.0,0.3440125248726668
,,,,,,b,467.0,0.3224963636769713
,,,,,,b,468.0,0.3448986370546731
,,,,,,b,469.0,0.3970557742024003
,,,,,,b,470.0,0.349311576519506
,,,,,,b,471.0,0.3235660447183175
,,,,,,b,472.0,0.3440813068741875
,,,,,,b,473.0,0.3797085705926712
,,,,,,b,474.0,0.3190707834645869
,,,,,,b,475.0,0.3412387648845509
,,,,,,b,476.0,0.3641651610780188
,,,,,,b,477.0,0.3946350503968237
,,,,,,b,478.0,0.3268584048552592
,,,,,,b,479.0,0.3595514263373953
,,,,,,b,480.0,0.5088854925734365
,,,,,,b,481.0,0.3518393234134445
,,,,,,b,482.0,0.3680657247791488
,,,,,,b,483.0,0.3464698468618006
,,,,,,b,484.0,0.3561033106344049
,,,,,,b,485.0,0.3373991021437814
,,,,,,b,486.0,0.3155965019291589
,,,,,,b,487.0,0.3599340692711155
,,,,,,b,488.0,0.3554391990357541
,,,,,,b,489.0,0.3108114469423464
,,,,,,b,490.0,0.3461633459153721
,,,,,,b,491.0,0.3984327386779505
,,,,,,b,492.0,0.3671807259027551
,,,,,,b,493.0,0.3320277210614994
,,,,,,b,494.0,0.3669764609736399
,,,,,,b,495.0,0.3500610174827319
,,,,,,b,496.0,0.3802879716104383
,,,,,,b,497.0,0.3578664279582177
,,,,,,b,498.0,0.3164045638283377
,,,,,,b,499.0,0.369412667768346
,,,,,,b,500.0,0.3943065174449249
,,,,,,b,501.0,0.3532159039199936
,,,,,,b,502.0,0.3194429279498574
,,,,,,b,503.0,0.351361408091452
,,,,,,b,504.0,0.3718525485041875
,,,,,,b,505.0,0.3240292666927278
,,,,,,b,506.0,0.4091784888231697
