space_id,source_cluster_id,source_cluster_basis,source_file_digests,source_cluster_size,source_cluster_weight
Manikanta2793/my-study-assistant,2e41f4d32571b7199212585ea283c1365727f8b57544d0d535bd4e50de462466,exact_multifile_bundle,2,1,1.0
Maram-almasary/AI_Study_Assistant,ee41cfc032f49e6abca86114073e0ed75e1e9f825cf697265da6e18dc7db9d2c,exact_multifile_bundle,2,1,1.0
Maric28561/hellocode-mobile-app-the-learning-companion,unique:Maric28561/hellocode-mobile-app-the-learning-companion,insufficient_files_for_clustering,1,1,1.0
Masterlew/math-tutor-chatbot,ec68570afc93f0ec2e1fcb8354e63939d05d81063445b973efbab97eb85b97e2,exact_multifile_bundle,4,1,1.0
MeetThakkar/quiz-generator,84d7ac84b2df9e4a4387db599581456c8ba272a8aaf95ba6b01995199e7eb5dc,exact_multifile_bundle,2,1,1.0
Megana10/ai_study_assistant,f20f9d15b918736605594945c9e880c413ba19a0bd2837ec57e702bded100718,exact_multifile_bundle,2,1,1.0
Mehak0711/AI_TUTOR,730d972459208ea6122d7e8da5bb38427a685f4bd0437fd3738c161bd9b8def0,exact_multifile_bundle,2,1,1.0
Mehrann123/AI-tutor,10650c4c9ea00da13bf99cf3524e5d716560ed51e8e1de7b250df8a45f2a2417,exact_multifile_bundle,2,1,1.0
Mehrann123/MMB-Quiz-Generator,7278db24a3a166bcaafa74c6c7ea81b118657da8337d7a9ec5d0040de1b0a654,exact_multifile_bundle,2,1,1.0
MiltonTech1245/math-ai-tutor,unique:MiltonTech1245/math-ai-tutor,insufficient_files_for_clustering,1,1,1.0
MoCode/basset-english-learning-companion,67c1a959d4258aa431ef25ff41415f70a335f4a2a1e129b032c92117ad81432c,exact_multifile_bundle,6,1,1.0
Mohamed25412/eduspark-ai-smart-learning-companion,a971c7dcd71643f7e95e51215b491ba6aa88159ece0fbbc4188de3d8c683a45f,exact_multifile_bundle,4,1,1.0
MohammadYaseen/personalized-study-assistant-chatbot,9f05361cdc0bd826cebc7ac92161c3966fa2816ae478233bf56ae4062b130fff,exact_multifile_bundle,2,1,1.0
Mohd-Dilshan/ai-quiz-generator,06380a82f8992049d10dbe035a9c08bdcaa254159cdd6edca3b8b65d17fb145c,exact_multifile_bundle,4,1,1.0
Mohit99Chand/EducationalAIChatbot,e91cd8878b92b4a3a258063d2f0d0c79592328002a53ef46a8886a51ea9224b9,exact_multifile_bundle,2,1,1.0
