space_id,provider,layer,evidence_type,evidence_value,source_file,confidence,model_family,upstream_license,provider_basis
danrdoran/ai_tutor_gpt_neox,Hugging Face,hub_sdk,package,huggingface-hub,requirements.txt,high,,not_applicable,package
danrdoran/ai_tutor_gpt_neox,User-managed runtime,local_runtime,package,transformers,requirements.txt,high,,not_applicable,package
danrdoran/ai_tutor_gpt_neox,User-managed runtime,local_runtime,code_signature,transformers_runtime,app.py,high,,not_applicable,code_signature
danrdoran/ai_tutor_gpt_neox,EleutherAI,model_dependency,hf_linked_model,EleutherAI/gpt-neox-20b,hub_metadata,high,gpt,apache-2.0,model_namespace
danrdoran/ai_tutor_llama,Hugging Face,hub_sdk,package,huggingface-hub,requirements.txt,high,,not_applicable,package
danrdoran/ai_tutor_llama,User-managed runtime,local_runtime,package,transformers,requirements.txt,high,,not_applicable,package
danrdoran/ai_tutor_llama,User-managed runtime,local_runtime,code_signature,transformers_runtime,app.py,high,,not_applicable,code_signature
danrdoran/ai_tutor_llama,Meta,model_dependency,hf_linked_model,meta-llama/Llama-3.2-1B,hub_metadata,high,Llama,llama3.2,model_namespace
danrdoran/ai_tutor_v2,Hugging Face,hub_sdk,package,huggingface-hub,requirements.txt,high,,not_applicable,package
danrdoran/ai_tutor_v2,User-managed runtime,local_runtime,package,transformers,requirements.txt,high,,not_applicable,package
danrdoran/ai_tutor_v2,User-managed runtime,local_runtime,code_signature,transformers_runtime,app.py,high,,not_applicable,code_signature
danrdoran/ai_tutor_v2,namespace:danrdoran,model_dependency,hf_linked_model,danrdoran/flan-t5-simplified-squad,hub_metadata,high,T5/FLAN-T5,missing,unmapped_public_namespace
DataRebels/chatbot_language_tutor,User-managed runtime,local_runtime,package,ollama,requirements.txt,high,,not_applicable,package
DataRebels/chatbot_language_tutor,User-managed runtime,local_runtime,code_signature,ollama_runtime,experiments/autogen_hooks.py,high,,not_applicable,code_signature
DataRebels/chatbot_language_tutor,User-managed runtime,local_runtime,code_signature,ollama_runtime,stream_app.py,high,,not_applicable,code_signature
david280010195/Teaching_Assistant_AI,OpenAI,inference_service,code_signature,openai_official,app.py,high,,not_applicable,code_signature
david280010195/Teaching_Assistant_AI,OpenAI,inference_service,code_signature,openai_official,config.py,high,,not_applicable,code_signature
david280010195/Teaching_Assistant_AI,OpenAI,inference_service,code_signature,openai_official,models.py,high,,not_applicable,code_signature
deepang1902/quiz-generator-api,User-managed runtime,local_runtime,package,transformers,requirements.txt,high,,not_applicable,package
deepang1902/quiz-generator-api,User-managed runtime,local_runtime,code_signature,transformers_runtime,app.py,high,,not_applicable,code_signature
deepang1902/quiz-generator-api,namespace:valhalla,model_dependency,hf_linked_model,valhalla/t5-base-e2e-qg,hub_metadata,high,T5/FLAN-T5,mit,unmapped_public_namespace
DeepLearningAI/quiz-generator-v3,OpenAI,inference_service,code_signature,openai_official,app.py,high,,not_applicable,code_signature
DeepLearningAI/quiz-generator-v3,OpenAI,inference_service,code_signature,openai_official,learning_objective_generator/generator.py,high,,not_applicable,code_signature
deepthi8518/StudyAssistantApp,OpenAI,inference_service,code_signature,openai_official,studyassistant_quiz_question.py,high,,not_applicable,code_signature
deneve07/pharma-quiz-generator,Google,inference_service,code_signature,gemini_sdk,app.py,high,,not_applicable,code_signature
deneve07/pharma-quiz-generator,Google,inference_service,package,google-genai,requirements.txt,high,,not_applicable,package
dhanushshenoyh/study_assistant,Google,inference_service,code_signature,gemini_sdk,app.py,high,,not_applicable,code_signature
dhanushshenoyh/study_assistant,Google,inference_service,package,google-genai,requirements.txt,high,,not_applicable,package
DheerajKausik/RAG_BASED_AI_TEACHING_ASSISTANT,User-managed runtime,local_runtime,package,ollama,requirements.txt,high,,not_applicable,package
DheerajKausik/RAG_BASED_AI_TEACHING_ASSISTANT,User-managed runtime,local_runtime,code_signature,ollama_runtime,rag_pipeline.py,high,,not_applicable,code_signature
dhivakar/my-study-assistant,Google,inference_service,code_signature,gemini_sdk,app.py,high,,not_applicable,code_signature
dhivakar/my-study-assistant,Google,inference_service,package,google-genai,requirements.txt,high,,not_applicable,package
Diid12rt/AITUTOR,OpenAI,inference_service,code_signature,openai_official,utils/ai_helper.py,high,,not_applicable,code_signature
dikshita0503/pdf-to-quiz-generator,User-managed runtime,local_runtime,package,transformers,requirements.txt,high,,not_applicable,package
dikshita0503/pdf-to-quiz-generator,User-managed runtime,local_runtime,code_signature,transformers_runtime,src/processor.py,high,,not_applicable,code_signature
dikshita0503/pdf-to-quiz-generator,namespace:mrm8488,model_dependency,hf_linked_model,mrm8488/t5-base-finetuned-question-generation-ap,hub_metadata,high,T5/FLAN-T5,apache-2.0,unmapped_public_namespace
dineshstark7/StudyAssistant,Google,inference_service,code_signature,gemini_sdk,app.py,high,,not_applicable,code_signature
dineshstark7/StudyAssistant,Google,inference_service,package,google-genai,requirements.txt,high,,not_applicable,package
dineshstark7/StudyAssistant,OpenRouter,inference_service,code_signature,openrouter_endpoint,app.py,high,,not_applicable,code_signature
dineshstark7/StudyAssistant,Google,model_dependency,code_model_id,google/gemini-2.5-pro,selected_source_files,medium,gemini,missing,model_namespace
dinu143/Study-Assistant,Google,inference_service,code_signature,gemini_sdk,app.py,high,,not_applicable,code_signature
dinu143/Study-Assistant,Google,inference_service,package,google-genai,requirements.txt,high,,not_applicable,package
DipakBundheliya/flask_ai_tutor,Groq,inference_service,package,groq,requirements.txt,high,,not_applicable,package
DipakBundheliya/flask_ai_tutor,Groq,inference_service,code_signature,groq_sdk,app.py,high,,not_applicable,code_signature
djaber15/ai_tutor,namespace:sentence-transformers,model_dependency,hf_linked_model,sentence-transformers/all-MiniLM-L6-v2,hub_metadata,high,MiniLM,apache-2.0,unmapped_public_namespace
DoctorHolly/BIO_Tutor_Chatbot,OpenAI,inference_service,code_signature,openai_official,app.py,high,,not_applicable,code_signature
doudoug1/educational-chatbot,Google,inference_service,code_signature,gemini_sdk,app.py,high,,not_applicable,code_signature
doudoug1/educational-chatbot,Google,inference_service,package,google-generativeai,requirements.txt,high,,not_applicable,package
DroolingPanda/teachingAssistant,User-managed runtime,local_runtime,package,transformers,pyproject.toml,high,,not_applicable,package
DroolingPanda/teachingAssistant,User-managed runtime,local_runtime,package,transformers,requirements.txt,high,,not_applicable,package
DroolingPanda/teachingAssistant,namespace:facebook,model_dependency,hf_linked_model,facebook/nllb-200-3.3B,hub_metadata,high,nllb,cc-by-nc-4.0,unmapped_public_namespace
