space_id,runtime_stage,disabled,last_modified,last_modified_age_days
harshu07/ai_tutor,SLEEPING,False,2025-02-08T04:33:17.000Z,568.8102199074074
hasithmutha/quiz-generator-ai,BUILD_ERROR,False,2025-04-19T13:24:14.000Z,498.4415046296296
HemanthRaj/Socratic-AI-Tutor-Model,RUNTIME_ERROR,False,2025-06-30T15:44:19.000Z,426.34422453703706
HemanthRaj/socratic-tutor-embedder,SLEEPING,False,2025-07-13T17:35:11.000Z,413.2672337962963
HumeraAI/lesson-plan-generator,SLEEPING,False,2026-05-04T05:52:55.000Z,118.75491898148148
HumeraAI/quiz-generator-from-PDF,SLEEPING,False,2026-04-20T02:56:49.000Z,132.87721064814815
hussainzaidi/AI-Teaching-Assistant,SLEEPING,False,2025-09-22T08:58:15.000Z,342.62621527777776
husseinhug321/Study-Buddy-AI-Learning-Assistant,RUNNING,False,2025-04-01T03:20:32.000Z,516.8607407407408
hyder-ali/ai_tutor,SLEEPING,False,2024-12-27T14:07:12.000Z,611.4116666666666
iamyash222/studyAssistant,SLEEPING,False,2026-07-07T08:06:09.000Z,54.662395833333335
ifaundezf/estudiapp-quiz-generator,RUNTIME_ERROR,False,2025-04-30T01:44:42.000Z,487.9272916666667
iju123/Quiz_Generator,RUNTIME_ERROR,False,2025-08-25T07:14:10.000Z,370.6984953703704
ilangs/AI_Math_Tutor,SLEEPING,False,2026-03-14T03:58:07.000Z,169.8346412037037
ilsa15/educational_chatbot,SLEEPING,False,2025-07-11T20:18:08.000Z,415.15407407407406
Imsachinsingh00/education_chatbot,SLEEPING,False,2025-05-21T17:35:53.000Z,466.2667476851852
ishanmm0410/rag-quiz-generator,RUNTIME_ERROR,False,2026-04-27T02:23:51.000Z,125.90010416666667
isreyas/Study_Assistant,SLEEPING,False,2026-07-05T06:37:28.000Z,56.72398148148148
itsh4r01/AI-Quiz-Generator,RUNTIME_ERROR,False,2026-07-22T01:47:20.000Z,39.92546296296296
Jainish210705/Quiz_Generator,SLEEPING,False,2025-09-27T12:12:13.000Z,337.4915162037037
jakeeeeeeee/my-study-assistant,RUNTIME_ERROR,False,2026-08-02T10:52:14.000Z,28.547060185185185
Janakimeena/RAG-Base-Educational-Chatbot,RUNTIME_ERROR,False,2026-05-12T09:48:59.000Z,110.5909837962963
Jangasathwika/ai.tutor,RUNTIME_ERROR,False,2026-07-08T08:52:54.000Z,53.62993055555555
Jangasathwika/aitutor,PAUSED,False,2026-07-09T09:15:08.000Z,52.61449074074074
