draw,service_hhi,model_hhi,hhi_difference,hhi_ratio,service_top_share,model_top_share,top_share_difference,service_shannon_entropy,model_shannon_entropy,shannon_entropy_difference_model_minus_service
60,0.28242016120804,0.1276967202893129,0.15472344091872708,2.211647727272727,0.4393939393939394,0.23737373737373738,0.20202020202020202,1.4685956920232703,2.3759548437960425,0.9073591517727722
61,0.3486123864911743,0.13475807457288938,0.21385431191828494,2.58694989221305,0.5505050505050505,0.25252525252525254,0.29797979797979796,1.4285498063036677,2.3411349266370878,0.9125851203334201
62,0.3326191204979083,0.13847084764593182,0.1941482728519765,2.402087704037251,0.5303030303030303,0.23232323232323232,0.29797979797979796,1.454690013399818,2.2813558336127,0.8266658202128818
63,0.4030966227935924,0.14094933623553152,0.26214728655806085,2.859868897289471,0.5959595959595959,0.22727272727272727,0.3686868686868686,1.235125476566344,2.2732959881757533,1.0381705116094093
64,0.3581267217630854,0.12003877155392306,0.23808795020916235,2.9834254143646413,0.5505050505050505,0.17845117845117847,0.372053872053872,1.3586607546242064,2.3688114636610913,1.0101507090368849
65,0.3389960208142026,0.13228242016120803,0.20671360065299457,2.562668723486309,0.5303030303030303,0.23737373737373738,0.29292929292929293,1.3768350135405405,2.36016836289843,0.9833333493578893
66,0.2946383022140598,0.11297174891450985,0.18166655329954995,2.6080706463792476,0.4797979797979798,0.1717171717171717,0.30808080808080807,1.4913340081271467,2.45283229570002,0.9614982875728733
67,0.3212682379349046,0.12706186443560183,0.19420637349930278,2.5284395074946464,0.5151515151515151,0.21717171717171718,0.29797979797979796,1.4424712941302316,2.3674750608458393,0.9250037667156077
68,0.4078665442301806,0.13033250575338115,0.27753403847679947,3.1294306962988743,0.6060606060606061,0.2222222222222222,0.38383838383838387,1.2575010640508588,2.399061494284546,1.141560430233687
69,0.3798591980410162,0.13003775124987246,0.24982144679114374,2.9211455472734404,0.5656565656565656,0.1994949494949495,0.36616161616161613,1.2502399879954673,2.3069763279244073,1.05673633992894
70,0.3733037445158658,0.1240236257071274,0.2492801188087384,3.009940585009141,0.5757575757575758,0.18181818181818182,0.393939393939394,1.3915918772170375,2.3052639372197286,0.9136720600026911
71,0.3106315682073258,0.13325170900928476,0.17737985919804103,2.331163859111792,0.48484848484848486,0.21212121212121213,0.2727272727272727,1.4345519893101102,2.2955446531684416,0.8609926638583314
72,0.32165085195388227,0.12463580813749164,0.19701504381639062,2.5807258504638892,0.5151515151515151,0.20875420875420878,0.30639730639730633,1.4640096216850682,2.3975034825383577,0.9334938608532894
73,0.29935720844811753,0.1332262014080196,0.16613100704009792,2.2469844916714528,0.48484848484848486,0.20707070707070707,0.2777777777777778,1.5064811333785062,2.2946439582578395,0.7881628248793333
74,0.3152994592388531,0.10920087519414119,0.20609858404471193,2.88733454451077,0.51010101010101,0.1717171717171717,0.33838383838383834,1.4794928668513458,2.481071539426101,1.0015786725747553
75,0.344097541067238,0.12414549535761657,0.21995204570962143,2.771727963838093,0.5303030303030303,0.20707070707070707,0.3232323232323232,1.3635896467471116,2.4160975830576428,1.0525079363105312
76,0.3133863891439648,0.10490426146991803,0.20848212767404678,2.9873561355162903,0.5,0.19528619528619529,0.3047138047138047,1.444527436535017,2.5634892780152767,1.1189618414802598
77,0.3223650647893072,0.13427768141572854,0.18808738337357866,2.400734518130778,0.494949494949495,0.20454545454545456,0.29040404040404044,1.3634600948383797,2.2687134954230954,0.9052534005847157
78,0.35366289154167935,0.1274104683195592,0.22625242322212014,2.7757757757757755,0.5606060606060606,0.22727272727272727,0.33333333333333326,1.4367441896222193,2.3691244352116625,0.9323802455894432
79,0.33659830629527604,0.135373091181172,0.20122521511410404,2.486449141098515,0.5303030303030303,0.21717171717171718,0.3131313131313131,1.4198976440955642,2.3081045407364735,0.8882068966409093
80,0.31257014590347926,0.12227210375358524,0.19029804214989401,2.5563488016318203,0.494949494949495,0.19696969696969696,0.297979797979798,1.4034691534695827,2.3467629126127125,0.9432937591431299
81,0.36669727578818484,0.1349918942511535,0.23170538153703135,2.7164392189796347,0.5606060606060606,0.20707070707070704,0.3535353535353535,1.2908572812981356,2.30869817455988,1.0178408932617444
82,0.3138965411692684,0.1277193937126597,0.1861771474566087,2.4577045979052015,0.4898989898989899,0.18013468013468012,0.3097643097643098,1.4082812825754285,2.2892605871649847,0.8809793045895562
83,0.40322416079991846,0.14136454330057024,0.2618596174993482,2.8523712621670665,0.6111111111111112,0.21212121212121213,0.398989898989899,1.3594455742945937,2.265513171936847,0.9060675976422532
84,0.39962758902152834,0.12957861442709928,0.27004897459442906,3.0840551181102356,0.601010101010101,0.2474747474747475,0.3535353535353535,1.3004900999700664,2.381896815352146,1.0814067153820797
85,0.278236914600551,0.12185973086646489,0.1563771837340861,2.2832556138290325,0.42424242424242425,0.21212121212121213,0.21212121212121213,1.5007460484468993,2.4102903492931143,0.909544300846215
86,0.28134884195490256,0.12787102223129163,0.15347781972361094,2.200254890009419,0.4494949494949495,0.20707070707070707,0.24242424242424243,1.5547730826488915,2.3380424050840056,0.7832693224351142
